Q6P1D7	SLX4
64436	PPCA::,APG16::,Bad::,APP::,Aβ::,Htt::,TLN::,p55::,pha-4::,unc-24::,Ref(2)P::,FIP200::,beclin‐1::,Jumpy::,FYCO1::,Nix::,BCL‐2::,DHPR::,htt::,FoxO3::,Bnip3::,Atg‐16::,act::,HMGB1::,eis::,Sqa::,ZIPK::,MRLC::,BAG3::,mmi1::,red1::,InlK::,dBI‐1::,TAK1::,TAB3::,mec‐4::,Pin1::,FEZ1::,WAC::,Bim::,CAMP::,AMPK::,LAMP-1::,nbr1::,LC3A::,TMEM59::,LAMP-2::,ND-2::,epg-7::,atg-3::,lgg-1::,miR-212::,epg‐5::,LC3B::,EndoH::,SH3PX1::,CAVII::,CA VII::,survivin::,Uba1::,PERK::,let-7::,Ambra1::,Fbxo7::,Xbp1::,bec-1::,HACE1::,hNDP52::,Rho::,γ-tubulin::,WIPI1a::,AR125Q::,TFEB::,LGG‐1::,FUNDC1::,H-2Db::,CD45.1::,ERdj3::,TTR::,Bax::,Bak::,Centrobin::,RBM14::,ID1::,Id1::,KSHV‐TK::,noc::,Twi1p::,Coi12p::,CG9485::,AGBE::,Dusp5::,CD69::,α‐factor::,Rrm3::,HSF1::,GC‐G::,EN::,Dgcr8::,LGR5::,Terc::,LRP6::,CTxB::,TFG::,α-spectrin::,SPTAN1::,Dfmrp::,MDH2::,Spitz::,DER::,Ncoa5::,ASM::,ADAP::,Snai1::,TH::,SOD1::,TTN::,53BP1::,Twist1::,Coq9::,Snc1::,PEP4::,RAP1::,Trf1::,UBQLN2::,Mrc1::,TNF::,TNFR1::,HI0628::,Braf::,CD68::,Acta2::,Cd11b::,LXRα::,SPAK::,CUL3::,p48::,ULK1::,KRIT1::,CD16::,Rab8A::,Rab8B::,Swi6::,swi6::,clr4::,Siglec‐14::,SIGLEC14::,Mapt::,sqd::,γ2::,gephyrin::,PLCB1::,PLCβ1::,UnaG::,GM-CSF::,CD11c::,2d2::,IAb::,F4/80::,CHCHD3::,PARP::,KLF4::,Claudin5::,SMAD1::,BMP6::,Mef2A::,ral::,exo84::,sec5::,RPA2::,Dnd1::,HSP22.0::,HSP70::,RPA1::,TDP-43::,RAD21::,CD45RB::,TRAPPC8::,TfnR::,H3b::,DERL1::,Lyzs::,YAP::,PAQR3::,CIP::,OTUB1::,miR-10b::,Wbp2::,HKII::,VEGF-A::,dynein intermediate chain::,PCM1::,Stat1::,LukE::,LukED::,HlgC::,HlgA::,chm::,snr81::,snR81::,LY6C::,FoxM1::,Nd1::,osteocalcin::,Ki-67::,Pou5f1::,CaMKII::,Yippee::,Rnaseh2b::,HIF1α::,mRPL19::,Fus::,vGlut1::,INVS::,Fbxl17::,CNOT3::,NEMO::,Ifnar1::,α11.2::,SPOP::,ICP27::,STING::,Smad3::,Caspase-3::,CLU::,uPAR::,FN::,uPA::,Cor1::,Tom70::,Mdm10::,Ape1::,Atg19::,RAB2A::,U11::,S100a4::,HuR::,ICOS::,BTLA::,ISG56::,MBP::,CDKA;1::,ku70::,CYCA2;3::,CREST::,UbcH7::,CERK1::,igfbp2a::,ins::,igfbp1a::,junD::,PKCδ::,Eci1::,AP2A1::,PolD3::,Gpr124::,CARD14::,MALT1::,IL-8::,UBQLN4::,PTPIP51::,G6PD::,CCNA::,Chs5::,Dln1::,ER::,PALB2::,Tlk2::,dsi
64839	Fbxl17
10803	CCR9
10749	KIF1C
Q3TWN3	vps-34::,p38IP::,NPM1::,myosin VI::,Ptch1::,IL-18::,atg32::,gba::,Uba1::,PCM1::,Ape1::,IFN-γ::,ARHGEF18::,Mcm2::,NRPE1::,Dgcr8::,PTB::,FMRP::,CD40::,Pgc-1α::,NSMCE2::,Nsmce2::,Prp5::,IFT57::,PCAF::,CamKII::,Kcnip1::,IRF3::,bactin::,Pdx1::,MET::,SIRT5::,EpoR::,Smc1β
Q8BRU4	DNGR-1
6541	CAT1::,CAT-1::,cat-1
9525	VPS4B
P09919	apg16::,PHO8::,npc1::,il10::,Aminopeptidase I::,API::,hLAMP-2A::,GATE‐16::,Beclin‐1::,Mcl‐1::,Bad::,CHMP2B::,PS1::,huntingtin::,TLN::,catD::,rab-10::,FIP200::,Atg8b::,WIPI1::,calmodulin::,TRAIL::,TAK1::,FYCO1::,DOR::,Nix::,BCL‐2::,HDAC6::,Drpr::,Beclin1::,SNAP23::,IRGM::,eis::,Eis::,TGN46::,SIRT1::,yki::,Gal80::,ft::,ssm4::,red1::,Red1::,SUMO2::,KIF2::,Cdc11::,inlK::,InlK::,MVP::,AR::,IL‐1β::,BCN1::,proopiomelanocortin::,SCOC::,Galectin 3::,sseL::,Pex11::,Pex13::,Src::,Bim::,Atg17::,Tom1::,LETM1::,TFEB::,CD16::,T3JAM::,α-syn::,LRRK2::,epg-1::,epg-7::,CENP‐E::,Ubqln4::,Ripk2::,nestin::,gba::,H2AX::,lamin B1::,SNX18::,ROCK1::,Mdm2::,survivin::,Atg2::,caspase 3::,XBP‐1::,TBC1D7::,WASH::,Atg38::,Miro::,Fbxo7::,Mito::,lysozyme::,MIC1::,ULK::,Beclin-1::,Ift88::,Aco2::,CIP2A::,Hace1::,β‐catenin::,ACS2::,PDH E1a::,uga2::,rpl25::,Cx43::,Atg19::,VPS35::,WASH1::,ATG9A::,PDH::,Lon::,Gr-1::,spns1::,CaMKII::,sma‐3::,lin‐35::,lap::,interferon-γ::,IL-2::,CD28::,H-2Db::,RNAse A::,ddm1::,CPAP::,RBM14::,trt1::,cay1::,Cay1::,ApaI::,prp1‐1::,ARHGEF18::,CHL1::,TNFR1::,IBA-1::,Cx3cr1::,CX3CL1::,H19::,Alb::,HNF4::,CrkII::,noc::,Spo0J::,Snail::,Twi1p::,Hsp82p::,PA28α::,β5i::,β2i::,α2::,CDF1::,lhy::,pif5::,Rag2::,Dusp5::,Il13::,IL-33::,PCDH7::,rpb1::,FXR::,HSF1::,AMPKα1::,UBE2L3::,USP45::,SHP1::,NY‐ESO‐1::,CD4::,FimA::,DC-SIGN::,NFATc2::,podocin::,Phb2::,Insr::,EGF::,EN::,PrP::,Dgcr8::,LGR5::,Wnt4::,PTB::,Matrin3::,ATP8A1::,OCT4::,STELLA::,Hsp104::,mannosidase II::,TFG::,UVRAG::,n-Syb::,Cacna2d2::,FUS::,ajuba::,crb::,YAP::,COUP-TFII::,CCR9::,STAT1::,SYK::,Ccno::,Ref(2)P::,GRX2::,α-SMA::,PECAM::,Asm::,β1 integrin::,SKAP55::,CD44::,ALDH1A1::,miR-200::,miR-203::,Foxa2::,Acsf2::,TTN::,MURF2::,SQSTM1::,Pellino-1::,DDX3::,DDX17::,Coq9::,Coq5::,atg32::,Snc1::,sec12ts::,Kar2::,Hmg1::,Sec12::,APPβ::,CENP-F::,Tlr4::,miR-511::,ALT::,PIK3CA::,Kcnq1::,Ape1::,Npc2::,rhodopsin::,SYCP2::,TEX11::,Tgf-β1::,Glut1::,Catnb::,Nrp-1::,KLHL3::,p48::,NRP1::,IgG2a::,Nsmce2::,CD19::,KRIT1::,alpha-smooth muscle actin::,LYVE1::,MICA::,swi6::,Swi6::,sp70::,Hsp70::,Sig5::,Iba1::,Rpp30::,claspin::,synaptophysin::,hmgcr::,Pep2::,DTR::,CD11c::,Ccl2::,2d2::,ral::,GAL4::,RPA2::,DND1::,Caspase3::,CDC45::,BRPF3::,TRF1::,Braf::,B-Raf::,TAg::,CD45::,Phgdh::,eIF2a::,GADD34::,IL-6::,Dyn1::,OTUB1::,miR-10b::,CYM1::,Pitrm1::,VEGF-A::,isolectin B4::,NLRP3::,C1qA::,IFNβ::,LukE::,HlgA::,LukS-PV::,HlgC::,E2F8::,E2F7::,snr81::,GSK3α::,FoxM1::,USP5::,CTCF::,LIF::,Stat3::,Atatd3::,Sororin::,PAPP-A2::,ApoER2::,IFT88::,IFT80::,p21::,Yap1::,TrkB::,Ku70::,APP::,CCL5::,FIP3::,FUNDC1::,MCU::,SUMO1::,eIF4A::,eIF4E::,C3b::,mdi::,PTPσ::,NB-3::,calretinin::,GAD-65::,PDK1::,Sufu::,Fbxl17::,Ubp6::,Munc18-1::,DCP2::,VCAM-1::,p150::,NEMO::,COL3A1::,BSA::,Hsl::,IFN-b::,β2AR::,α11.2::,SPOP::,NAP1::,WRNIP1::,TGFR1::,Pli::,uPAR::,Trt1::,Ams1::,ypt7::,EGOT::,NF-κB::,VPS39::,S100a4::,Fstl1::,IFNG::,SMPD2::,miR-122::,DnaK Chaperonin::,CXCR5::,Bcl6::,ULK1::,Cep152::,Nde1::,sur-5::,pqm-1::,GSDMD::,NSUN3::,cycb1;1::,cdkb1;1::,ku70::,miR-449a::,EAP1::,MKK5::,NTR::,igfbp6b::,igfbp3::,ins::,bactin::,igfbp1a::,junD::,BMI1::,F9::,PKCδ::,MET::,Atp5g3::,Gdpd4::,NAT4::,nat4::,HIF-1::,HIF-1α::,Pfkfb3::,A20::,BAG6::,UBQLN4::,ORP8::,Drp1::,SIRT5::,HUWE1::,FRA3B::,Tek::,Dln1::,Trpml1::,Epo::,SOX2
42501	Rab11::,RAB11
17858	Mx2
Q01083|35253	Spitz
852129	lamp2a::,aut7::,APG16::,apg10::,npc1::,GATE‐16::,Beclin‐1::,polyubiquitin::,SipB::,TRAIL::,Jumpy::,TIGAR::,FYCO1::,DHPR::,MAP1LC3B::,Atg16L1::,Rb::,epsinR::,Foxg1::,ft::,InlK::,actA::,snt‐1::,FEZ1::,Bim::,AMPK::,RagB::,ZK1053.4::,Ubqln4::,IFN-γ::,FIP200::,Atg11::,CAVII::,Gal3::,ATG16L::,Ift88::,Hace1::,VPS35::,TDP43::,Rac1::,PI5P4K2C::,Aβ::,CTGF::,CG7112::,Yip1A::,Wnt4::,ATP8A1::,DC‐SIGN::,βH-spectrin::,survivin::,Ccno::,SAS‐6::,GOT2::,SMAD 5::,Snai1::,TH::,TTN::,DDX3::,Coq9::,XRCC4::,PHD1::,Ang2::,VEGF::,Sema3A::,SCP3::,alpha-smooth muscle actin::,PTPRN2::,DTX::,CD206::,Dyn1::,Mapk13::,VEGF-A::,CASP1::,E2F7::,chm::,atpcl::,pus1::,IL-12p35::,Pou5f1::,Ephb3::,Fus::,Munc18-1::,G45b::,nap1::,WRNIP1::,SEPT6::,uPA::,Tbk1::,GSDMD::,RNaseT1::,β2-transferrin::,PBL27::,ins::,junD::,SYCP1::,Trpml1::,EpoR::,PALB2
30295	Rho::,rho
20655|20657	SOD
2551422	FimA
P06800	EEA1::,APG10::,VDR::,Atg4::,Lamp2::,rab24::,TLN::,TNFR1::,DAPk::,sipD::,ref(2)P::,bag1::,SUMO‐3::,Rab1a::,β′-COP::,dRagA::,Jumpy::,TIGAR::,VCP::,p38IP::,FYCO1::,DHPR::,laminin::,cortactin::,DHR3::,Fis1::,clathrin heavy chain::,Atg16L::,HMGB1::,Vti1b::,IRGM::,eis::,MRLC::,sqh::,red1::,rep1::,PELP1::,IL-18::,FAS::,MVP::,actA::,BiP::,TRAF2::,IL‐18::,IL‐1β::,Rab8a::,TAB2::,TAK1::,NEMO::,UNC‐116::,NIPBL::,TFEB::,LAMTOR2::,sseL::,CD45::,Pex11::,Bim::,LC8::,Ape1::,myosin-VI::,Htt::,MCUR1::,Sph1::,ATG16L1::,Epg5::,LRRK2::,HCV E2::,epg-4::,atg-9::,LGG-1::,lgg-1::,Ubqln4::,Ripk2::,Ulk1::,PSA::,NCAM::,Atg36::,miR-212::,miR-132::,nsP2::,dcr‐1::,epg‐6::,XIAP::,CA II::,GEMIN3::,CDK6::,WASH::,PDI::,UVRAG::,MiroS::,LAMP2::,HBsAg::,ATG4B::,M2AP::,Beclin-1::,PGL-1::,Park2::,Aco2::,H1R::,GSK-3β::,Aldh5a1::,Ref(2)P::,Dcp-1::,invG::,mdx::,WIPI1a::,WIPI2b::,TDP43::,RE1::,Hrr25::,bp399::,sma‐3::,rpl‐43::,daf‐2::,lap::,Itch::,FUNDC1::,ULK1::,CD45.1::,BSA::,AGO6::,AVP::,GRI::,Bax::,Smac::,Clb2::,Rap1::,ID1::,Otx2::,β-globin::,SEC13::,PI5P4K2A::,VAMP7::,APP::,Mgat3::,IRS-1::,IL-6::,noc::,Mcm2::,GIW1::,β2i::,α5::,CDF1::,CG31935::,Il4::,BCL-XL::,cdc44::,α‐factor::,FXR::,HSF1::,UBE2V1::,TRAF6::,USP2::,c-Myc::,TCR::,Rag2::,CtIP::,IRE1::,Sar1::,Syk::,NOD2::,Phb2::,STAMP2::,αSMA::,collagen 1a::,miR‐294::,Dgcr8::,Terc::,LGR5::,Wnt4::,STELLA::,Hsp104::,Gnd1::,Htb1::,IP3R3::,NRBF2::,spr-5::,UBE4B::,CD45RB::,SlpA::,Ajuba::,FMR1::,dfmr1::,PEG10::,Centrin::,SIRT3::,Bak::,GLUT1::,miR-210::,ASM::,S6::,SKAP55::,ERN1::,AR::,CYP27B1::,MuRF1::,Ly6G::,TNF::,TGF-β1::,NF1::,COQ9::,CoQ9::,COQ5::,Snc1::,atg11::,PRB1::,Sec12::,prb1::,Aβ42::,esxA::,UBQLN1::,TBL1::,LOX::,lro1::,ayr1::,ZEB1::,Pcbp4::,CD24::,vimentin::,SPC::,ATM::,rhodopsin::,Cd11b::,Bnp::,β-catenin::,Catnb::,CD45R::,nestin::,WNK1::,CUL3::,p48::,PHD1::,p38γ::,NRP1::,IgG2a::,Nsmce2::,B220::,Id1::,LYVE1::,Vegfc::,E6::,YAP::,MICA::,CD107a::,NKG2D::,TNFα::,sqd::,Rpp30::,GlyR ß::,gephyrin::,tyrosine hydroxylase::,PTPRN2::,CFL1::,Pep2::,PECAM-1::,CD206::,caspase 3::,KLF4::,ERK5::,pob3::,swi6::,GAL4::,Dnd1::,H3K9Ac::,troponin T::,tat::,CD19::,CD22::,TET2::,TET1::,Tcf7l1::,FRB::,KIF21A::,DCLK1::,Tom22::,TAZ::,miR-10b::,Aβ::,hexokinase::,SOD1::,NLRP3::,IL1R1::,PCM1::,PBIP1::,Cas9::,LukS-PV::,HlgC::,HlgA::,E2F7::,Trpv4::,GemC1::,ATPCL::,acetyl-CoA::,Lti6B::,pus1::,Prp5::,snR81::,Stat3::,IFT57::,PGC-1β::,yH2A.X::,miR-515-5p::,CCL5::,CXCL10::,Rnaseh2b::,FACL4::,Ubc9::,SUMO1::,DAF::,MDI::,Fus::,Hist1h2bc::,ChAT::,vGlut1::,NCT::,INVS::,PDGF-AA::,h3.3::,53BP1::,Sufu::,Fbxl17::,Rad23::,mGluR2::,IL-10::,p150::,miR-29b::,α11.2::,LC3B::,H2A::,MRE11::,WRNIP1::,ICP27::,SM22::,calponin::,CLU::,CoxIV::,Drp1::,IcsA::,plasminogen::,VN::,Erv2::,imp1::,TKS5::,RAB2A::,FOXO3::,CD25::,CD127::,CAT-1::,P protein::,miR-122::,Pgc1::,CD4::,ICOS::,CXCR5::,PD1::,Pou2af1::,AMBRA1::,USP19::,PTPIP51::,caspase-1::,ABH1::,cdkb1;2::,CDKB1;1::,NS1::,SOX9::,SLUG::,POU3F1::,Gal4::,miR-449a::,Snf7::,Chm7::,mapkkk5::,MAPKKK5::,igf2a::,igfbp1a::,caspase-9::,PKCδ::,caspase-3::,MET::,Lyz2::,Hcfc2::,Eci1::,POLD4::,Ifnar1::,nat4::,CARD14::,MALT1::,SYCE2::,SYCP3::,Stag3::,RBM15::,Arp3::,SIRT5::,HUWE1::,Tek::,Hmox1::,GASZ::,Dln1::,Alas2::,Bach1::,lysosomal acid phosphatase::,Trpml1::,PALB2::,fft3::,PTEN::,Prox1a::,smo
Q56NI9	ESCO2
50769	ATP8A2::,Atp8a2
2806	GOT2::,Got2
851431	CDC48::,cdc48::,Cdc48
1045	Cdx2::,CDX2
55054|89849	atg16::,Atg16::,ATG16
63933	MCUR1
Q62351|Q9JKX3	transferrin receptor::,TfR::,TFR::,TfnR::,Transferrin receptor
60	β-actin
O60716	βCTF::,nicastrin::,RyR1::,Sqa::,mmi1::,hVps34::,TAB2::,MUP::,CD45::,myosin VI::,Ripk2::,GlyP::,VPS26::,atg‐7::,Dendra-tau::,centrin-2::,HA::,LDHA::,COLVII::,GOT2::,Tie2::,TP53INP1::,Coq9::,Dnmt2::,MICA::,dystrophin::,HDAC6::,IGF-I::,MT-CO1::,MCU::,SirT7::,Ptch1::,DDX6::,WRNIP1::,ICP27::,uPA::,PKCB::,ORP8
231474	PAQR3
817121	PS1::,TEX10::,ATG36::,Sgk1::,CD44::,Atg30::,miR-212::,SNX18::,FAM21::,ATPsyn-α::,CrkII::,FKF1::,SHP1::,STAMP1::,PRMT5::,SPR-5::,Twist1::,Apc::,mdi::,CNOT3::,IL-6Rα::,TBK1::,UBQLN4::,Caspase-3::,Mx1::,KV10.1
P0CH08|P0CH09|P0CG63|P05759	ubiquitylated
P35637	FUS::,Fus
406983|406984|406985	miR-200
11605	Gla::,GLA
19016	Htt::,TLN::,DAPK::,beclin‐1::,FYCO1::,LAMP::,Sqa::,SIRT1::,yki::,caspase-1::,ATPase::,Rap2b::,Bim::,sgk1::,TMEM59::,Ape1::,Epg5::,daf-2::,casp-1::,Atg32::,Atg36::,PrP::,lamin B1::,Atg16L1::,Beclin1::,msh-6::,Hsp78::,Unc-45b::,p22phox::,ach1::,ACS2::,mNDP52::,strumpellin::,Mito::,WIPI2a::,Atg19::,atg‐7::,CALM::,Dendra-tau::,IL-8::,MC9::,mpn1::,CLCb::,AgRP::,F4/80::,KSHV‐TK::,FXR::,BTK::,Phb2::,S6RP::,STAMP2::,OCT4::,ubr1::,Asm::,PPARγ::,Snai1::,Foxa2::,ypt1-1::,YPT1::,arrestin::,Tex11::,C7::,Bnp::,AID::,Sema3a::,CD19::,MICA::,Pep1::,Syt11::,Abo1::,PUMILIO1::,MCM2::,Cd22::,TRAPPC8::,CIP::,OTUB1::,KRAS::,ABCB8::,CASP11::,PCM1::,parγ)::,Ppary::,Pparγ::,snR81::,NRAS::,53BP1::,FIP3::,eIF4A::,mdi::,NB-3::,INVS::,H3.3::,Ptch1::,uPAR::,PAI-1::,CD63::,OVA::,MAVS::,SMI32::,ERO1Lα::,DIS3L2::,glucagon::,PKCδ::,ATM::,Gdpd4::,Gpr124::,Pax6::,CARD14::,CYLD::,MCP-1::,KV10.1
13198	Aβ::,BAG3::,ft::,CHOP::,rip1::,TLR8::,epg-7::,Ubqln4::,SOX2::,ATG9L1::,S6K1::,monoubiquitin::,ULK1::,PIF4::,p300::,YAP::,Ccno::,ERT2::,MICA::,CD68::,AMOTL2::,ral::,Tbr2::,LIF::,CCL5::,ChAT::,CD25::,cycb1;1::,bactin::,PolD3::,Sirt5::,HUWE1
P0CG47|P62987|P62979|P0CG48	ubiquitin::,Ubiquitin
P22203	PPCA::,TRAIL::,IRGM::,ARL8B::,Hla::,Gal3::,MIC1::,ACS2::,Atg19::,cay1::,BACE1::,Bace1::,CrkII::,ADE2::,LCK::,Terc::,VWA5A::,Sec16A::,Rh1::,MuSK::,prb1::,ERK5::,Lyzs::,Stat3::,LIF::,Ifnar1::,GluA1::,GSDMD::,KNL1::,igfbp1a::,HIF-1::,noggin::,Itga6::,Smo
850686	dnm1
Q9JHG6	RCAN1::,Rcan1
1649	ddit3::,Atg4B::,drpr::,IRGM::,CHOP::,cathepsin B::,FIP200::,CAVII::,p115::,bec‐1::,rpt‐3::,NAV3::,SlpA::,YAP::,MICA::,DTR::,2d2::,Bax::,RILP::,XBP-1::,Rab1a::,PDIA1::,nat4::,Cdk1::,Ki67
Q13509	caspase-1::,OPA1::,rab-10::,EGF::,Jumpy::,VCP::,HMGB1::,Tuj‐1::,sqh::,SUMO2::,Becn1::,UVRAG::,Rags::,LC3B::,Ret::,VP0::,COX-2::,SQST-1::,nestin::,CerS1::,SNX18::,PPAR-alpha::,Ref(2)P::,Sdt1::,atg‐7::,SQST‐1::,mtm‐3::,VAMP2::,Thy-1.1::,GRI::,cay1::,IL-6::,GC‐G::,SHP1::,AGO4::,dfmr::,CXCR4::,Cep63::,MDH2::,Foxp3::,DDX3::,ERT2::,UBQLN1::,Tbr1::,C7::,LXRα::,IgG2a::,BRCA1::,LacI::,Rpp30::,TUJ1::,TUJ‐1::,BMP6::,AMOTL2::,PUMILIO2::,a-actinin::,TET1::,LukD::,miR-515-5p::,Tuj1::,FATP2::,EGOT::,Beclin-1::,IFNγ::,bactin::,ß3-tubulin::,ß3-tub::,HGF::,Aurora Kinase A::,MALT1
P33895	Nuf2
26823	U12::,RNU12
P05503	COX I
Q64368	DAZL
12575	Cdkn1a::,p21::,P21::,CDKN1A
21749	TRF1::,Trf1
Q9EPQ1	TLR1
2542638	ddit3::,SipB::,TRAIL::,SCOC::,Bim::,Tom1L2::,Ptch2::,Gli2::,Elk1::,urh1::,spns1::,Atg34::,VAMP2::,Thy-1.1::,ERdj3::,Cay1::,LRRK2::,Rac1::,ER::,Dgcr8::,E‐cadherin::,C7::,dystrophin::,myosin::,TAZ::,CTCF::,Plk4::,LIF::,PSD95::,Pou2af1::,ERO1Lα::,MKK5::,RBM15::,Raf1::,noggin
5580	PKCδ
51761	ATP8A2::,Atp8a2
281370|615199|444874|286839	Ub::,UB
Q9VGI0	HisCl
P60521	GL2
A6ZLF7|P38316	Apg12p
Q8NI60	TLN::,IL-1β::,Aim2::,LC3A::,CAT1::,GlyPi::,Mfn2::,DAPK1::,mNDP52::,REST::,lap::,FUNDC1::,cay1::,CDF1::,Dusp5::,p300::,NOD2::,LGR5::,BDCA2::,MDH2::,Shi::,Coq9::,atg2::,H19::,NRP1::,VEGF-C::,Swi6::,γ2::,KLF4::,AMPKa1::,acetyl-CoA::,pus1::,MT-CO1::,γH2A.X::,AP::,INVS::,SC-35::,Frs2::,IFNB::,FUS::,Sna3::,CARD11::,aurora A
17110	Lyz
985114	inlK::,InlK
113886	KIF1C
P01562	p55::,CaM::,ATG10::,TIGAR::,LC3B::,eyeless::,epsin::,Sqh::,Sqa::,sav::,SENP3::,MVP::,lgg‐1::,Rags::,TBC1D25::,Tom1::,p24::,MITF::,LGG-1::,miR-212::,AIN‐1::,MelanA::,KAP::,CLN3::,WASH::,GlyS::,Fbxo7::,e-cadherin::,ULK1::,Nox2::,IL-8::,TTR::,scgn::,Clb2::,ID1::,atntr1‐1::,GIW1::,Dusp5::,HSF1::,Phb2::,Wnt4::,Raver1::,KCNA5::,BCR::,Ncoa5::,toyocamycin::,Snai1::,Foxa2::,TTN::,Kras::,ypt1-1::,ZEB1::,Tsc22d1::,Tsp1::,C7::,Dnmt2::,KLHL3::,AID::,AREG::,IL-2::,CD11b::,GAL4::,ABL1::,CD22::,TRAPPC3::,Mapk12::,VEGF-A::,CASP1::,Stat1::,gTbr2::,LukD::,E2F7::,chm::,Dvl::,IFT57::,ATM::,Yap1::,Ephb3::,Munc18-1::,Gadd45g::,FLCN::,ICP27::,IcsA::,uPAR::,plasmin::,VN::,oncostatin M::,AKT1::,Rab1a::,PD1::,GSK-3β::,Heh2::,DNGR-1::,Chk2::,Bub1b::,Gpr124::,GATA-1::,Epo
O70439	syntaxin 7::,Syntaxin 7
Q9JIQ3	Smac::,SMAC
Q8NE86	MCU
P42858	Htt::,huntingtin::,Huntingtin::,htt
P01326|P01325	hac1::,dRagA::,p40phox::,galectin-8::,MCUR1::,WASH::,RINT-1::,noc::,AR::,Insr::,Deup1::,ABCA1::,miR-210::,ypt1-1::,tenascin C::,LXRα::,NRP1::,TGF-α::,E6::,ERK5::,fkh::,SLFN11::,Phgdh::,miR-10b::,ABCB8::,Prp5::,USP5::,Rad23::,FIP200::,CYCB1;1::,MAPKKK5::,ins::,H2AX::,POLD4::,Stag3::,EpoR
Q27607	Tamas::,tamas
E0W1I1	PINK1::,Pink1
P49769	PS1
Q7Z7L1	SLFN11
I7M3G1|Q23FL2	Hsp90::,HSP90
Q66HC3	C9ORF72::,C9orf72
P52710	proteinase K::,PK
19819	RNase H1::,Rnaseh1
7804	ApoER2
239789	GemC1::,Gemc1::,GEMC1
Q9NQX3	gephyrin
27327	TNRC6A
P07333	CSFR1::,CSF1R
Q9P802	Mis18::,mis18
360834	VPS4B
P60710	Actin::,actin::,beta Actin::,β‐actin::,ACTB::,Actb
795084	igfbp5a
2540025	TLN::,α-amylase::,ref(2)P::,TAB3::,CD16::,invG::,Ctns::,Ubi::,USP8::,HSP47::,Syk::,AGO4::,Cacna2d2::,AR::,Snai1::,Snq2::,PI3K::,C7::,Dnmt2::,SLFN11::,CD22::,IL-6::,Mic60::,OTUB1::,E2F8::,Wnt-3a::,TrkB::,Rnaseh2b::,DHFR::,β2AR::,α11.2::,WRNIP1::,Cox2::,Atg19::,miR-122::,CXCR5::,SOX9::,BIK1::,igfbp1a::,Trpml1::,Epo
P35438	GluN1
P16675	PPCA
252554	sav::,Sav
22601	Yap1
