P39052	Dyn2
O08665	Sema3a::,Sema3A
10531	PITRM1::,Pitrm1
A0FJB4	miR-1003
P35381	ATPsyn-α
Q09914	Rho1
P29269	MYL9
692604	caspase 1::,Caspase 1
Q8VEL2	Jumpy
Q12469	SKM1
836819	mapkkk5::,MAPKKK5
104231	Ter119
Q96AC1	mig-2
Q9N3Z3	CHK-1
Q5DU05	CEP164
Q9EPK5	TAZ
10664	CTCF
30590	p53
P00414	COXIII::,COIII
P01614	IGKV
Q9D658	PRL3
P67999	p70S6k::,P70S6K::,p70S6K
Q2EMV9	STAT6
Q4V3C1	Med8
P07992	ERCC1
O46034	CBL
Q8CG79	p53
30291	CDH2
100280656	subunit C
3034	Hal::,HAL
25836	Scc2
355	CD95
21678	Tead3
P01892	mir142::,miR1982
Q6CZL3	GlpG
Q9BRQ6	CHCHD6
Q9Z2P5	RIPK3
15975	Ifnar1
Q9H252	hERG
40224	rdgC
P11279|3916	LAMP1::,Lamp1
1785	dynamin II::,Dynamin::,Dyn2::,dynamin
Q99623	PHB2
P37275	proaminopeptidase I::,npc1::,cyclophilin::,Aβ::,Tsg101::,BIP::,Ref(2)P::,debcl::,BAG1::,Jumpy::,VCP::,p38IP::,NAF‐1::,BIK::,DHPR::,polyubiquitin::,htt::,MuRF‐1::,GATE‐16::,Atg16L1::,LC3::,MCL‐1::,sir-2.1::,PRKAA1::,Yki::,ft::,MDN1::,S6K::,ARL8B::,JNK1::,InlK::,AR::,MAP1LC3::,TBD::,BCN1::,M45::,unc‐57::,calpain::,CK2α::,Pin1::,cyclin B::,S6K1::,TFEB::,FEZ1::,p24::,α-hemolysin::,GAL1::,Atg36::,Tom70::,Src::,Bim::,Atg29::,pho8::,CYP27B1::,Atg5::,Sph1::,LAMP-2::,Foxo3a::,LC3A::,TMEM59::,Jc1::,epg-7::,SQST-1::,atg-9::,LGG-1::,IL-18::,Bbc3::,SOX2::,Atg30::,Beclin1::,Casp7::,CerS1::,PrP::,lamin B1::,FKBP::,TfR::,XIAP::,ATG5::,Atg18::,TSC2::,WIPI-1::,WASH::,RINT-1::,UVRAG::,ALP::,MiroS::,ZK686.3::,PlcA::,HBsAg::,HBx::,ERK::,CD40::,Beclin-1::,IFT20::,HACE1::,Wnt3a::,ACH1::,parkin::,PDH E2/E3::,SOD2::,ULK1::,spns1::,TDP43::,SNAP25::,GL1::,GL2::,NCOA4::,Ape1::,VAMP2::,ERdj3::,GRI::,Bax::,CDC14::,Cdc14::,γ-tubulin::,Rac1::,PI5P4K2C::,HA::,LAMP1::,Lamp1::,Zeb1::,Mcm2::,atntr1::,Twi1p::,FT::,Il4::,FXR::,HSF1::,GC‐A::,GC‐G::,Parkin::,Nanog::,Brachyury::,NFATc2::,Phb2::,AST::,Pkm2::,Terc::,Tfn::,MVH::,STELLA::,IP3R type 3::,ufd-2::,CD25::,SlpA::,COL7A1::,Dfmrp::,GRK5::,BLIMP1::,caspase::,NCOA5::,4E-BP1::,SKAP55::,ZEB1::,ACTB::,Foxa2::,Smad6::,IL-6::,CCND1::,Ki67::,atg2::,Snc1::,ypt1::,Aβ40::,rpoE::,HI0629::,p48::,MFG-E8::,Tex11::,C7::,Glut1::,LXRα::,p53::,NG2::,VEGF::,YAP::,Rab8A::,Sig5::,Rpp30::,BKK1::,UnaG::,CAIX::,CCM1::,AMOTL2::,fkh::,NANOS2::,TRA98::,HSP18.2::,Braf::,Tie2::,Lyn::,RAB1B::,eIF2a::,Sox17::,cMyc::,DCLK1::,cytochrome c::,Lyzs::,MAL::,MBNL1::,IRF9::,Stat2::,NAT10::,Cas9::,LukD::,Trpv4::,MCIDAS::,FOXJ1::,GemC1::,CS::,WRKY29::,pus1::,Prp5::,KLF5::,Axin::,Wnt-3a::,FoxM1::,STAT5::,TOM20::,PGC-1β::,Esrrb::,TrkB::,PCAF::,Sld3::,mdi::,Nefl::,Fus::,NB-3::,Notch1::,INVS::,Akt::,PDGF-AA::,Fbxl17::,Me31B::,db::,FLCN::,Gli3::,SPOP::,WDR41::,Nap1::,H2A::,FN1::,BRAF::,CoxIV::,Fgf21::,uPAR::,uPA::,VN::,trt1::,Ams1::,RAB2A::,CAT-1::,HuR::,Rab1a::,CPAP::,STX3::,cycb1;4::,cycb1;3::,Snap29::,FBW7α::,SOX9::,ErbB4::,Effete::,LUBEL::,Heh1::,MAPKKK5::,ins::,NTR::,igfbp1a::,bactin::,gcg::,junD::,MET::,CD45::,PolD4::,Ifnar1::,HIF-1α::,Pfkfb3::,MALT1::,ABIN-1::,CARD14::,SYCP3::,Stag3::,UBQLN4::,IL-2Rα::,CD42::,Sirt5::,tyrosine hydroxylase::,Tnf1::,Ptc1::,Chs5::,EpoR::,Epo::,miR-10b::,PTEN::,Gata4::,Lsd1::,Mpc1::,CD19::,Syk::,ASC::,NLRP3::,IL-1β::,Shp2::,OCT4::,tau::,miR-21-3p::,CXCR2::,NF-κB::,TNF-a::,INPP5E::,PRR7::,MFN2::,CD62L::,CX3CR1::,TWIST1::,TNF::,AMPKα::,Ah::,c-myb::,CHD1::,Bcl2::,IP3R3::,Nrg1::,Mtmr2::,Ahr::,vimentin::,TAZ::,NLK::,PEX13::,CD34::,FBXO7::,TH::,Wrb::,MMS22L::,Mdm12::,β5i::,LLO::,Gp96::,F4/80::,Sox2::,let-7a::,PS1
P10040	Crb::,crb
69060	PTL
21937|21938	TNFR1
Q9VEN1	Filamin A
Q8NDZ4	DIA1::,Dia1
100009704	c‐Kit
6663	SOX10
Q8BWF0	SSADH
Q58FA4	E2F8
Q8LEM4	atg8a::,Atg8a::,ATG8a
21803	Apg16p::,Vps24::,FIP200::,TIGAR::,parkin::,eis::,yki::,Tub::,pet122::,HD::,Androgen receptor::,CYP27B1::,nsP2::,MSH-2::,RPTOR::,beclin-1::,Atg19::,FUNDC1::,CRH::,Id1::,CDF1::,Ubi::,CD4::,STAMP2::,TGF-β1::,Tex11::,Tgf-β1::,C7::,Tgfb1::,PECAM1::,clr4::,2d2::,Ral::,Lyzs::,YAP::,CYM1::,NLRP3::,ELF3::,Esrrb::,FGFR1::,Tgfβ1::,gp8::,ISG54::,IDH2::,Chs5::,TGFβ1::,Sst::,TGFβ-1::,TGFB1::,Rag1::,Sharpin
Q9JLM8	DCLK1
181662	lin‐15B
P27838	eFF2K
442997	IP-10
P04426	Wnt1
16399	CD41::,cd41
P21807	Peripherin
2932	GSK3β::,GSK3-β::,GSK3ß
Q6PBA4	ref(2)P::,M45::,MCUR1::,Ubqln1::,ALG‐2::,Fbxo7::,Atg19::,pnp1::,ferritin::,Atg34::,prk5::,Cx3cr1::,PR-SET7::,Dmef2::,Ampkα1::,LDHA::,ATP8A1::,GM130::,FMRP::,CD32a::,CD8::,Unc93b1::,gephyrin::,Pep2::,exo84::,CD22::,NPY::,MCOLN1::,McIdas::,Rac1::,PS1::,PKCB1::,OAT::,ATM::,HUWE1::,TP53::,CTCF::,cmyb1::,c-myb::,CD25::,CLB2::,IL-1β::,Tek::,PR1
E9PZQ0	RyR1::,mir142
2590	T2
P04055	PLA2
Q9JIL4	Ptgir
Q9UHD9	UBQLN2
P24593	IGFBP-5::,IGFBP5
Q6IMY8	Xist::,hnRNP U::,Hnrnpu
993	Cdc25A
403103	Cyp1a1
Q9USI6	myo2
851445	atg20
172596	spr-4::,SPR-4::,spr4
24805	SYT2
P35610	SOAT1
Q9B284	aCASP3
Q49A26	KDM1
16189	Il4::,IL4
854153	p19INK4D::,GATE‐16::,BIK::,SIRT1::,p62::,Lamp1::,Atg16L1::,Beclin 1::,EGF::,AR25Q::,Ctns::,Mgat3::,Ubi::,BTK::,Phb2::,Pkm2::,CDC50A::,rpoE::,Tsp1::,NRP1::,YAP::,IL‐8::,Bmp6::,Dynactin 1::,CD4::,snR81::,FoxM1::,Akt::,GluA1::,PLAU::,Mdm12::,mdm12::,HIF-1α::,Drp1::,UbcH7::,c-Jun::,Sig1R::,TRAIL
18391	Bad::,PS1::,VCP::,LC3::,BAX::,inlK::,MVP::,MAFbx::,Atg8::,NLRP3::,POMC::,myosin VI::,LRRK2::,LGG-1::,PSA::,gba::,Beclin1::,let-7a::,MVb::,PlcA::,S6K1::,parkin::,Ref(2)P::,tkl1::,mdx::,TDP43::,atg19::,Dendra-tau::,IL-8::,Inn1::,Sox11::,Rac1::,Ctns::,Cx3cr1::,noc::,pif5::,DTS::,Dusp5::,IL-5::,USP45::,THEMIS::,DC-SIGN::,PrP::,hsp42::,Rubicon::,NPPA::,Dfmrp::,CCR9::,light chain lambda::,Sirt3::,miR-210::,miR-203::,Snai1::,SQSTM1::,ypt1-1::,atg11::,Sec13::,Kcnq1::,Tsc22d1::,Npc2::,MLH1::,C7::,p48::,N-cadherin::,TGF-α::,YAP::,GBS β::,Rpp30::,gephyrin::,DTX::,IAb::,BMP6::,abo1::,GAL4::,ABL1::,Tie2::,SHP1::,CD45::,RAB11A::,ULK1::,MDA-5::,Bax::,RAS::,Pgr::,C1qA::,DIC::,gTbr2::,Trpv3::,GemC1::,WRKY29::,Stat3::,CaMKII::,Mcm6::,NB-3::,ATM::,MALAT1::,p150::,db::,Rab34::,αSMA::,CLU::,Dio2::,VN::,CD4::,SMPD2::,CD63::,NavMs::,CYCB1;1::,miR-449a::,bactin::,insulin::,PS2::,PKCδ::,Aurora A::,LRSAM1::,Mavs::,Ngn1::,CARD14::,ORP8::,ORP5::,Trpml1::,fft2::,miR-10b::,Smo::,atg2::,IFN-γ::,Ret::,FBW7::,MIC60::,CD11b::,Hes1::,IgG1::,Bcl2::,Sig1R::,TP53::,EcoRV::,MYD88::,Il-1β::,pep4::,HUWE1::,ER::,Sig1R −/−::,Sig1R −/::,Sig1R −/−.
Q8BH57	USP1
Q94A06	MKK1::,mkk1
P04626	erg6‐2::,bec-1::,Ref(2)P::,wts::,POMC::,Src::,Bim::,EPG-7::,AGO1::,ATF3::,Dusp5::,HSF1::,GC‐A::,F4/80::,Sec31A::,NCOA5::,PD-1::,IL-1β::,p53::,YAP::,RPA2::,CD22::,TRPV2::,INVS::,CB1R::,VPS39::,RNAP::,USP38::,CYCB1;1::,DIS3L2::,MAPKKK5::,MET::,Smc1β::,HUWE1::,Lsd1::,Her2::,HER2::,FOXA1::,ErbB2::,SHOX::,BACE1::,α-Synuclein::,IRF9
29652393	PNK
P06800	syntaxin 6::,apg10::,retinoic acid receptor::,p19INK4D::,Bad::,Htt::,p62::,nicastrin::,TLN::,DAPk::,DRP-1::,rab-10::,debcl::,beclin 1::,TRAIL::,SENP2::,dRagC::,RagA::,Jumpy::,LC3::,Atg9::,FYCO1::,DOR::,Nix::,α1S::,laminin::,DHPR::,atrogin‐1::,ACC::,GATE‐16::,Drpr::,cholera toxin::,Atg5::,Atg16L1::,Hmgb1::,Rb::,hIFN-γ::,Sqa::,myosin regulatory light chain::,wts::,Mmi1::,red1::,NPM1::,ARL8B::,ASC::,npr2::,Cdc11::,BAX::,hVps34::,inlK::,IRE1α::,IL‐1β::,TAB3::,TAB2::,CK2α::,rictor::,SCOC::,optineurin::,p17::,α-hemolysin::,Hla::,CD45::,atg36::,Bak::,WIPI2::,TLR8::,Atg12::,MCUR1::,patched::,Foxo3a::,TFEB::,Lc3::,ATG16L1::,Atg16::,Epg5::,TDP-43::,LAMP-1::,Parkin::,SQST-1::,epg-3::,LGG-1::,epg-1::,EPG-7::,C17E4.2::,Beclin‐1::,PAT4::,Atg11::,AIN‐1::,SH3PX1::,Beclin1::,ATM::,AGO2::,PMP70::,TGN46::,EEA1::,WASH::,Beclin 1::,RINT-1::,MnSOD::,WIPI‐2::,Fap-1::,Beclin-1::,DAPK1::,β‐catenin::,Atg8p::,Cx43::,Atg8::,Atg19::,Ape1::,VPS35::,Ref(2)P::,pnp1::,orgA::,SPI2::,Akt::,invG::,ULK1::,spns1::,OFD1::,WIPI1a::,Atg7::,NCOA4-1::,CALM::,VAMP2::,Dendra-tau::,CD45.1::,ERdj3::,ATF6::,AGO6::,oxytocin::,GRI::,Inn1::,cay1::,Upf1::,Clc::,EMP1::,Aβ::,AgRP::,Cx3cr1::,IBA-1::,TLR2::,APOE::,alanine aminotransferase::,HNF4::,CrkII::,KSHV‐TK::,Ltbr::,noc::,atntr1‐1::,ANTR1::,NTR1::,Pdd1p::,Twi1p::,CDF1::,Rpn1::,GlyS::,Dusp5::,IL-33::,FXR::,HSF1::,GC‐G::,Ub::,ERCC1::,USP45::,Lamp2::,DC-SIGN::,Lyz::,Syk::,NFATc2::,Phb2::,NAV3::,endosialin::,AGO4::,Dgcr8::,Terc::,LGR5::,PCNA::,CTxB::,MVH::,san1::,ManII::,Vps15::,UBE4B::,CD45RB::,SlpA::,α-spectrin::,Crb::,crb::,FMRP::,BDCA2::,Ccno::,CEP164::,CP110::,Spi::,NCOA5::,Abca1::,GRX2::,Asm::,SKAP55::,TP53INP1::,STRA6::,desmin::,ZEB::,H4::,Nurr1::,arginase::,Ly6G::,CD115::,ACTC1::,Ttn::,Smad6::,NF1::,Ccnd1::,TCF4::,Coq9::,Snc1::,Sec61::,Sec13::,XRCC4::,Trf1::,IL-6::,TNF::,miR-511::,ALT::,Kcnq1::,Fas1::,Tbr1::,NPC2::,CD11c::,Braf::,MFG-E8::,IL-1RA::,Il-6::,LXRα::,Apc::,CD45R::,SPAK::,PHD3::,PHD2::,PHD1::,IgG2a::,Sema3A::,NSMCE2::,Nsmce2::,B220::,CCM3::,ERK1/2::,AREG::,MICA::,Swi6::,swi6::,MyD88::,lamininin-2::,CFL1::,SERK2::,2d2::,Ang-2::,KLF4::,Tf::,Syt11::,H3::,ral::,HSP101::,hsfa2::,HSP22.0::,ABL1::,Caspase-3::,CD22::,CD19::,TET2::,TBC1D14::,TRAPPC8::,Nox4::,KIF1A::,KIF1::,HDAC6::,Bax::,CD4::,PPP3CA::,Lyzs::,p38γ::,PAQR3::,NRAS::,OTUB1::,CASP1::,Stat2::,Plk1::,PBIP1::,LukE::,Pgc1α::,GemC1::,chm::,Prp5::,snR81::,ubiquitin::,USP5::,Axin-2::,STAT5::,Stat3::,LIF::,SMC3::,IFT38::,IFT54::,IFT80::,CXCL-1::,PGC-1β::,PGC-1-β::,MARK4::,miR-515-5p::,TrkB::,Rnaseh2b::,DRP1::,FUNDC1::,Mcm6::,Mcm4::,HIF-1α::,mdi::,SMN::,ChAT::,NB-3::,Fibronectin::,BLBP::,calretinin::,IGCL::,53BP1::,Ptch1::,Rad23::,munc18-1::,DDX6::,Ly6C::,Iba1::,IFN-b::,α11.2::,SPOP::,H2B::,RAD51::,WRNIP1::,RCC1::,TGF::,miR-150::,αSMA::,CLU::,Cdc25C::,Cidea::,Dio2::,Dld1::,Ams1::,ypt7::,RAB2A::,FUS::,Foxo3::,Foxp3::,miR-122::,C9orf72::,Rab1a::,Pgc1::,are2::,dga1::,doa10::,USP19::,Cep152::,GSDMD::,caspase-1::,NSUN3::,cycb1;1::,CDKA;1::,cdkb1;1::,FBW7α::,SOX9::,OAT::,LUBEL::,miR-449a::,bactin::,insulin::,igfbp1a::,Nfe2l2::,junD::,H2AX::,MET::,HGF::,Aurora Kinase A::,Sca1::,CD41::,Eci1::,Wbp5::,Nrxn1::,DP1::,GEMC1::,c-Jun::,CARD14::,SYCE1::,SYCP3::,ORP8::,HUWE1::,p53::,Clc1::,BCH2::,chs5::,MitoPLD::,Dln1::,ER::,Bach1::,EpoR::,PTEN::,KV10.1::,aurora A::,PALB2::,fft3::,miR-10b::,EpCAM::,CD44::,i1 W::,EGFR::,Scl::,Aco1::,Ret::,TNFα::,Cuedc2::,ob::,CLE45::,UbcH7::,INPP5E::,GluN1::,Sec16p::,RAD21::,PPARγ::,ERK1::,LIMT::,Csf1r::,Hrr25::,ZEB1::,Fnip1::,CCND1::,SRSF1::,Cdk1::,HOIP::,c-myb::,ANG-2::,VEGF-A::,Twist::,Brca1::,Gadd45a::,PPM1D::,Gr1::,Myc::,IP3R3::,SOD1::,Nrg1::,cyclin B1::,BACE1::,Ahr::,YAP::,MOG::,Gata6::,NF-B::,PEX13::,Tnfα::,Sec23::,Gal3::,p97::,CD34::,pep4::,FBXO7::,NEX::,TH::,OVA::,Rab22a::,parp1::,pwi::,CCR2::,CCL2::,IFN-β::,IRF3::,Mdm12::,β5i::,Tm1::,GATA4::,mpk4::,Oct4::,Rnf114::,APP::,CX3CR1::,CD68
22918	CD93
1432|5603|6300|5600	p38::,P38
25085	the
79091	Mettl22::,METTL22
Q9CD89	CD89
F1MXR2	Onecut2
P47047	il10::,Aβ42::,SUMO2::,LC3A::,mTORC1::,Dcp-1::,ATG16L1::,secretagogin::,Secretagogin::,F4/80::,GC‐A::,THEMIS::,XBP1::,CD32a::,Smad6::,Snc1::,Mapt::,gephyrin::,SLFN11::,p53::,Raf-1::,OTUB1::,GSK3α::,CCL5::,GADD45β::,mdm10::,Trt1::,Ams1::,Rab1a::,Hcp1::,Pou2af1::,Stag3::,RBM15::,Scl::,Mtr4::,Ccno::,Hcp::,Huwe1
3965005	Xyl
P07663	K14
P47239	pax7::,PAX7
P29475	nNOS
P18341	TGFβ-1::,TGF-1
Q64364	Cdkn2a::,p19Arf
Q13563	kidney MΦ
Q811R2	Ppargc1b
P0AES2	pwi
P42748	Ubc4
792194	SNAIL2
Q7TNK3	Zfp191
O67931	SQR::,Sqr
Q9UI12	H subunits
Q8JZQ2	AFG3L1::,AFG3L2
4087	Smad2::,SMAD2
Q96FA3	Pellino-1
57837	PPCA::,BAG3::,FYCO1::,Beclin1::,yki::,MVP::,actA::,GAL1::,Bim::,LC8::,Calreticulin::,mec-4::,MAD2::,Zwint‐1::,CD44::,NCAM::,lamin A/C::,MelanA::,SNX18::,let-7::,VAMP3::,FIP200::,WASH::,Atg8::,IFT20::,HDC::,AcCoAS::,Rpl25::,WIPI2b::,LC3::,daf‐2::,Itch::,centrin-2::,F4/80::,Dgcr8::,LCK::,Mfa1::,Phb2::,STAMP2::,Wnt4::,UBE4B::,α-spectrin::,DARS::,Snc1::,ALT::,LOX::,Kcnq1::,JNK::,Catnb::,IL‐8::,CCM1::,TFEB::,H3K27Ac::,Mic27::,YAP::,PAQR3::,miR-10b::,SART3::,IFT57::,Lrig1::,Rnaseh2b::,ChAT::,CHL1::,Fbxl17::,p150::,plasminogen::,uPAR::,Mdm12::,Erv2::,Ape1::,IL-21R::,caspase-1::,CYCB1;1::,DUSP2::,NTR::,bactin::,A20::,CD4::,CCL3::,CXCR2::,RIG-I::,HHARI::,c-Jun::,RAD21::,ZEB1::,CHD1::,BACE1::,p97::,hrcC::,CLPP::,ERAL1::,Eral1::,Lgr5::,let-7a
P49641|Q16706	mannosidase II::,ManII
P06756	TGFβ receptor::,laminin α5
P40318	doa10::,DOA10::,Doa10
Q13114	RIG-I CARD
14968205	SgrS
Q12933	cIap2::,RIPK1
41071	dRagA::,RagA
1151518	rssA
E9QNW4	Fam38b
12570	P39
P13405	pRb::,Rb::,pRB::,RB
I3M6B0	mTOR
P14904|P14904	Ape1::,APE1
2247	FGF-2
101612	GRWD1
P27773	ERp57
P08551	NFL
X2J6D4	cyt b
A0A0A1IQU5	miR-17
5289	Vps34::,vps34::,VPS34
100316778	miR1982
Q13155	pha-4::,Parkin::,Atg16L1::,Hmgb1::,rec8::,Htt::,Bim::,Atg12::,p62::,NOD2::,TMEM59::,gba::,LC3::,KAP::,catalase::,rBeclin 1::,API::,EXO-3::,PlcA::,MIC3::,GL1::,KLRG1::,RAB27A::,Rab3::,Ub::,USP2::,Lamp2::,SIRT3::,Sec13::,Villin::,NSMCE2::,LRRC8D::,synaptophysin::,DTR::,LATS2::,RPA2::,SLFN11::,Sox17::,FRB::,HDAC6::,JUNB::,Akt2::,MKKK7::,Wnt-3a::,ICAT::,PGC-1β::,NB-3::,h3.3::,β2AR::,Smcr8::,TGFR1::,VN::,Doa10::,CD62L::,ABH1::,OCT6::,OAT::,Effete::,Gpr124::,ubiquitin::,G6PD::,SIRT5::,Chs5::,GLI1::,EAAC1::,Gli::,Syk::,Src::,AIMP2::,Ret::,miR-21-3p::,CXCL5::,SGK3::,tau::,FUBP1::,Fubp1::,ANG-2::,IgG1::,Vim::,Smc3::,PEX13::,LAMP1::,OVA::,Mdm12::,Elp3
1254406	SipD::,sipD
956309	nsP2
Q676U5|Q8NAA4	atg16::,Atg16::,ATG16
P17809	GLUT1::,Glut1
34716145	Nyv1::,NYV1
378915	PSMB7
O02374	Bruno
948070	Cspa
733578	Cldn4
P49840	GSK3α
Q9H160	PHD3X
Q59X67	EFG1
531505	MRCL3::,MRLC2::,MYL9
Q920A7	AFG3L1
831001	cyclin
Q54WJ0	LKB1
4851|4853|4854|4855	Notch::,notch::,NOTCH
171498	SGK3
G8IT35	Trop I
22427	WRN
P54362	subunit G
Q9C438	atg11::,Atg11
12933529	GadY
445000	Myosin 10
P10627	apg16::,Jumpy::,Sqa::,TAB3::,ULK1::,Atg13::,MCUR1::,Sph1::,RagD::,CA VII::,FIP200::,Bre5::,Ape1::,Dcp-1::,phm8::,LAMP1::,sma‐3::,THEMIS::,MBD2::,VHL::,Bax::,ISCU1/2::,Nurr1::,DGA1::,LRRC8D::,tlh1::,SLFN11::,CD4::,miR-10b::,VEGF-A::,NLRP3::,ADAM8::,Stat3::,SMC3::,FACL4::,NB-3::,RAD51::,NTR::,ste5::,Sept2::,CD11b::,Tbr2::,Twist
165918	RNF168
447454	SETD1B
Q9GZX6	IL22::,IL-22
Q9JLQ0	bec-1::,LC3::,Rheb::,RyR1::,cholera toxin::,HMGB1::,Map1lc3b::,DNase I::,Bim::,Gli2::,RagA::,CD16::,Atg5::,SEPA‐1::,DICER::,TSC2::,C2::,APN-1::,HtrA2::,AR25Q::,rho::,CALM::,CD127::,ERdj3::,TTR::,Aβ::,zyxin::,CG9485::,p65::,Ub::,NOD2::,APC::,p62::,miR-210::,thrombin::,DDX3::,Coq9::,Aβ42::,Tlr9::,Catnb::,NG2::,huntingtin::,p48::,UnaG::,fkh::,netrin-1::,YAP::,Stat2::,Mdm2::,Axin2::,STING::,Munc18-1::,munc18-1::,Mdm34::,ter1::,C9orf72::,Pou2af1::,USP19::,VAPB::,TBK1::,U12::,PBL27::,bactin::,PS1::,Aurora kinase A::,Aurora Kinase A::,CARD11::,REC8::,cofilin::,IL-4::,DnaJC5::,UbcH7::,RAD21::,miR-132::,VEGF-A::,p53::,Mtmr2::,CD2AP::,STAT2::,Tek::,VE-cadherin::,chymotrypsin::,Clpp::,mpk4
10715	CerS1
P46937	TUB1::,Aut7p::,Apg5p::,apg12::,Atg8::,EGF receptor::,Bad::,p62::,TLN::,p55::,β2::,Atg4B::,Rab1a::,β′-COP::,Jumpy::,MTMR2::,Atg12::,TIGAR::,Bcl-2::,p38IP::,p38α::,DOR::,BIK::,cortactin::,ap::,dS6K::,drpr::,Drpr::,ATG5::,HMGB1::,Rb::,VAMP7::,Vti1b::,COX-IV::,htt::,Sqh::,NMHC‐IIA::,spaghetti‐squash::,red1::,rrp6::,Red1::,RpL27::,PMP70::,ras2::,JNK1::,actA::,Smurf1::,NLRP3::,IL‐1β::,TAB2::,TAB3::,BCN1::,TNFα::,M45::,synaptotagmin::,Rap2b::,Bim::,Beclin 1::,GABARAP::,NS5A::,sgk1::,Sgk1::,ATG9B::,LC3A::,Epg5::,LRRK2::,Jc1::,epg-7::,atg-3::,Ubqln1::,Il18::,miR-212::,dcr‐1::,gba::,Casp3::,Atg2::,GEMIN4::,TBC1D7::,Bif-1::,SQSMT1::,Pho8::,Mfn1::,HBsAg::,VDAC1::,WGA::,ATG4B::,M2AP::,ATG14L::,LGG-1::,SMO::,IFT20::,Aco2::,DAPK1::,CLIC4::,HACE1::,β‐catenin::,ach1::,Atg11::,Atg19::,titin::,Dcp-1::,Lon::,VDAC::,phm8::,spns1::,mdx::,p47::,WIPI1a::,TDP43::,SPR-4::,GRL1::,AR::,TFEB::,lgg‐1::,egl‐46::,IL-8::,secretagogin::,Bax::,Inn1::,STIL::,SAS-6::,trt1::,ID1::,Id1::,CLCb::,ZO-1::,Ctns::,IRS-1::,APOE::,CD14::,Alb::,noc::,Noc::,Twi1p::,Coi12p::,Rpn3::,DTS::,Dusp5::,IL-33::,Rrm3::,FXR::,Hspb1::,Ampkα1::,HSF1::,miR-27a::,THEMIS::,IRE1::,NFATc2::,Phb2::,EN::,TAS3a::,ago6::,EXPL1::,pat1::,Dgcr8::,Pkm2::,Myc::,Terc::,PR::,MS2::,Matrin3::,PLEKHA3::,ATP8A1::,MVH::,VHL::,IP3R type 1::,Sec16B::,Rubicon::,LC3::,CG9934::,UBE4B::,Signr3::,SlpA::,Crb::,YAP::,DARS::,COL7A1::,CCR9::,Ccno::,GOT2::,rdgC::,LXR::,ISCU::,Asm::,TP53INP1::,RAR::,miR-200::,synaptophysin::,phosphofructokinase::,Pfk1::,Ly6G::,TNF::,Ttn::,Pellino-1::,vimentin::,cyclin D1::,Coq9::,Snc1::,ypt1-1::,PRB1::,prb1::,XRCC4::,Trf1::,H2AX::,TSC22D1::,MEK1::,CycE::,SYCP2::,Asma::,C7::,LXRα::,CUL3::,AID::,PHD1::,NRP1::,IgG2a::,Sema3A::,TGF-β1::,Nsmce2::,casein kinase Iε::,MOB1::,E7::,TGF-α::,MICA::,Rab8B::,Parkin::,Rabin8::,Swi6::,Siglec‐5::,SIGLEC14::,Mapt::,Iba1::,gephyrin::,dystrophin::,tyrosine hydroxylase::,collagen VI::,BIK1::,PROPEP3::,UnaG::,CD4::,CSF1R::,PARP::,CCM1::,KLF4::,Abo1::,pob3::,ral::,SLFN11::,NANOS2::,BRPF3::,BRPF1::,Dynactin 1::,PARDG6::,CyclophilinB::,netrin-1::,F4/80::,CD69::,CD22::,CTCF::,TRAPPC4::,Phgdh::,PP1::,eIF2::,NPY::,IL-6::,xCT::,p38γ::,CTGF::,PAQR3::,OTUB1::,ABCB8::,CtBP2::,IL1R1::,IL18::,VEGF-A::,PCM1::,Mdm2::,HlgA::,Trpv1::,Trpv3::,atpcl::,MKKK7::,Prp5::,snR81::,FoxM1::,Stat3::,SMC3::,PAPP-A2::,Dvl::,53BP1::,Pou5f1::,Tead3::,mis18::,RNase H2::,cGAS::,FIP3::,Ubc9::,eIF4A::,mdi::,NB-3::,NeuN::,PDGF-AA::,Fbxl17::,GADD45β::,Rab34::,β2AR::,H2B::,WRNIP1::,FBH1::,αSMA::,miR150::,Cdc25C::,CLU::,JNK::,CoxIV::,plasminogen::,Mdm10::,Ugo1::,Cox2::,RAB2A::,FUS::,p120::,S100a4::,Foxo1::,HuR::,CD63::,Erg1::,Pou2af1::,Btla::,USP19::,Aurora A::,ERp57::,TBK1::,caspase-1::,MTIF2::,cycb1;1::,TDP-43::,Chm7::,CERK1::,ins::,igfbp1a::,igfbp6b::,glucagon::,SMA::,FIX::,CD133::,PKCδ::,Aurora Kinase A::,Aurora kinase A::,Cxcr4::,nat4::,STE5::,Smc1β::,SYCE1::,UBQLN1::,Sec61β::,VAPA::,RBM15::,HUWE1::,eNOS::,Chs6::,Sec7::,GASZ::,R-spondin 1::,PALB2::,Aldh1l1::,atg2::,Lsd1::,Gata1::,CD19::,Shp2::,TUBB3::,lamin B::,GPX1::,miR-21-3p::,UbcH7::,HOIP::,PDK1::,GluN1::,PRR7::,RAD21::,Hrr25::,ZEB1::,MCK::,SRSF1::,rbd2::,ReaChR::,IBA1::,Sig1R::,Nrg1::,AhR::,CD45::,Ahr::,IL-4::,caspase 3::,SOX2::,IL-17A::,CD90::,Mps3::,α-synuclein::,TRIF::,Hcp::,Sec23::,p97::,CD34::,pep4::,FBXO7::,NURR1::,CCL2::,Mdm12::,NMHCIIA::,Apc::,ER::,mpk4::,SUMM2::,Stat1::,RHOB::,AGO2::,Aβ::,YAP-14-3-3::,Ser127
