J7HCD4	hCD4
P40426	Pbx3::,PBX3
7003|8463|7005|7004	TEAD
17359906	Ski2
P11802	CDK4::,p16Ink4A::,Cdk4
P24928	SMN2
Q7ZUQ3	Mst2::,MST2
11946	ATP5A1
Q9QVP4	myl7
P51692|P42229	STAT5
337413	STAT6
689210	Spdef
O42269	NMHC‐IIA::,HD::,inlK::,ISCU::,Coq9::,NSMCE2::,HBO1::,Sec7::,PTEN::,MPK4
20964	Synapsin-1
16322	Inhibin A
Q70CQ3	α-HASPB::,CREST::,nestin::,CerS1::,LGG‐1::,miRNA‐200c::,USP30::,alpha-smooth muscle actin::,SUMO2::,imp1::,IL-2::,Aldolase::,cycb1;1::,RNF168::,FOXJ1::,X-chromosomes::,SIRT5::,Cdc14
139341	deg‐3::,TH::,EndoH::,Fbxo7::,FUNDC1::,noc::,Lyz::,Raver1::,miR-210::,pep4::,ypt1::,Sig5::,OTX2::,CD206::,HBO1::,TRF2::,Tcf7l1::,cMyc::,OTUB1::,IRF9::,IFT57::,SPOP::,T7E1::,BCL10::,Scl::,RARα::,c-Jun::,CCM1::,p97
282530	drb3)
64135	MDA5
G4RJZ1	cst-2
Q9QXQ7	Wnt5a
Q92597	NDRG1
A0A109Y517	AMG517
26420	Jnk2::,JNK1/2
360743	med15
407040	miR-34a::,miR-34c-5p
A0A178UR97	AT5G09810
Q9Z1Y3	CDH2
Q9ET26	Rnf114::,RNF114
100314040	miR-181b
572332	Rnf43
10392	NOD1
100685486	Synapsin-1::,synapsin-1
930	SipB::,W07G4.5::,Dmef2::,LGR5::,Tfn::,CD19::,APPβ::,OTUB1::,CXCR5::,PIPKIγi5
24486	IGHA
Q60769	Irg1::,TNIP1::,Tnip1
Q8BGV3	Trop I
24534	Ldhb
Q99732	alpha-factor::,α-factor
297995	CHMP5
B3DK46	Lama4
O95900	TRUB2
13435|13436	Dnmt3
Q9VTH1	Ube3a
P97574	STC
P39748	Fen1::,MF20
6446522	iglec‐5
A0A0B4KHS3	Miranda
P05198	Bcl‐XL::,SipB::,DAPK::,Rap2A::,eIF2α::,XIAP::,Nox2::,rhodopsin::,NRBF2::,miR-210::,GPIIb::,SOX9::,STAT2
Q12923	ASC::,ZK1053.4::,Fap-1::,EN::,Snc1::,pus1::,ErbB4::,Mpc1::,IL-1R1::,STAT2
P34943	NDUFA9
7630241	pGL3B
226539	DPY‐23::,Ubqln1::,gba::,Mcoln1::,MCU::,DARS2::,Dars2::,aPKC::,Hcp
841	CASP8
33283|41868	Atg4::,scgn::,GC‐G::,CCR9::,NRP1::,MICA::,CD22::,FLCN::,Sororin
Q5T1M5	FKBP15::,SPR-4::,PR-SET7::,FXR::,CASP11::,α11.2::,cdc14
Q3TZZ7	E-SYT2
10351807	COXIII
174050|177989	LC3::,Lc3
P42224	TMEM59::,STAT1::,Jak1::,IL8::,Snc1::,Kcnq1::,PROPEP3::,VEGF-A::,Stat1::,h3.3::,Bcl6::,TUJ1::,ISGF3
P14739	UGI
H2L0M4|Q9TXN6	FEZ1::,atg-9::,ATG-9::,Atg19::,Rag2::,IL-4::,Mbd2::,TFG::,COUP-TFII::,bFGF::,β1 integrin::,CD44::,CD22::,gp91phox::,nat4::,GATA-1::,GATA4
26053	Auts2
1453	CK1δ
P49748	VLCAD
E9QAP4	Cd55b
10845	Clpx::,CLPX
500636	RNF144
P0DPB3	AnkG
170731	apg10::,vps4::,TLN::,IFN-γ::,unc-24::,nanos::,ERGIC-53::,TIGAR::,NAF‐1::,LAMP::,hVps34::,MFN2::,eis::,Ulk1::,wts::,Pcf11::,ura4::,red1::,SENP3::,DNase I::,Mfn2::,cyclin B::,GAL1::,MCUR1::,MITF::,Ubqln4::,IL-18::,Atg30::,hRARα::,atg‐2::,gba::,Hrs::,CIP2A::,TDP43::,SEPA‐1::,ago6::,c‐fos::,GRI::,Bak::,Nop1::,STIL::,ApaI::,mpn1::,T::,KSHV‐TK::,Coi12p::,FKF1::,Dmef2::,TRAF6::,Brca1::,Mfa1::,Insr::,miR‐290::,Terc::,p63::,ACSL3::,UBE4B::,SlpX::,GAL-3::,Ccno::,GRX2::,CTLA-4::,BNIP3L::,Nurr1::,MuSK::,Sec61::,Hmg1::,H19::,Npc2::,LXRα::,PHD1::,IgG2a::,Nsmce2::,IL-2::,CD107a::,Swi6::,FOSL2::,BRPF1::,GKN1/2::,Tie2::,TRAPPC12::,eIF2a::,Tcf7l1::,Lyzs::,PAQR3::,REM2::,KRAS::,STAT2::,Spindly::,HlgB::,chm::,IL-12p35::,FoxM1::,SCF::,LIF::,IFT88::,PIK3C2B::,mcm6::,FH::,HDAC1::,CtBP2::,NB-3::,CHL1::,INVS::,Iba1::,ER::,ICP27::,STING::,Smad3::,VN::,ter1::,Ape1::,RAB2A::,CD63::,miR-122::,Pou2af1::,CPAP::,nhr-28::,FBW7α::,Ube1::,igf2a::,caspase-9::,Hes5::,c-Jun::,SIRT5::,Tek::,Sec28::,GATA-1::,EpoR::,Gli2a::,Gli::,RARα::,Ret::,ob::,miR-21::,c-myb::,Bcl2::,BACE1::,Act::,CYR61::,CD90::,IL-1R1::,CoQ10::,Coq9::,p97::,FBXO7
Q8LD38	Mpc3::,mpc3::,MPC3::,MPC
20604	Sst
P0CG69|P15357|P18101	ubiquitin::,Ubiquitin
14176	FGF5
P70338	Gfi1
Q42551	I-Sce-I
56532	RIPK3
29483	GLT-1a
P44801	MF20
O54949	NLK
P20095	RNA2
Q9BPX3	condensin
11459	Acta1
12765	CXCR2
Q9Z2D1	MTMR2::,Mtmr2
P51153	Rab13
Q9UBT2|Q9UBE0	E1
111453369	biquitin::,biquitin.
O95817	BAG3::,bag3::,hpo::,CK2α::,p24::,spns1::,GRL2::,hexokinase::,PlGF::,LXR::,arginase::,TGF-α::,CCM1::,INVS::,XBP-1::,pqm-1::,PBL27::,HUWE1::,PDK1::,Mtmr2::,CD127::,FBXO7
40014	grim
Q8TBB1	trmt12
P40318	cyt c::,Mapt::,doa10::,DOA10::,Doa10::,PKCδ::,Trp53
Q15233	Rnf43
443438	IL-3
884473	ompA
16019	IGHM
Q3U4S0	Pank2::,PANK2
1489833	VSV-M
Q2HJ60	hnRNPA2
215999	MCU::,epg‐5::,Fap-1::,TTR::,TLR9::,Dgcr8::,miR-511::,VEGF-C::,Dgat1::,cycb1;1::,Tek
4331983	D14-
105215719	osk
P62593	BlaM
852876	npc1::,NAF‐1::,msh-6::,invG::,spns1::,PMA1::,S6RP::,Rubicon::,TTN::,α-actinin::,YAP::,p38γ::,CLU::,Chm7::,PolD3::,UBQLN4::,HUWE1::,ICAM-1::,Aβ::,IP3R3::,Apc
380684	NF200
Q15750|Q9NYJ8|Q8N5C8	TBD
277328	IB4::,TRPA1
Q15717	npc1::,Aβ40::,SipB::,bec-1::,ACC::,ft::,red1::,KIF2::,BCL‐2::,Myosin VI::,Atg30::,DICER::,catalase::,Atg4B::,EGF::,IFT20::,Rpl25::,VPS35::,invG::,atg19::,bp399::,daf‐16::,STIL::,cay1::,β-globin::,Cx3cr1::,NTR1::,IL-5::,HSF1::,Troponin I::,THEMIS::,Mfa1::,podocin::,miR‐290::,LGR5::,DIAP1::,PD-1::,XBP-1::,MURF2::,DDX3::,Snc1::,Sec61::,CENP-F::,Trf1::,ayr1::,IL-1β::,IL-1RA::,IgG2a::,NSMCE2::,Siglec‐5::,IL‐8::,Sig 14::,LRRC8C::,gephyrin::,CD11c::,fkh::,SLFN11::,RPA1::,raptor::,cMyc::,p38δ::,Ly6G::,TESK1::,Tbr2::,BDNF::,TrkB::,mdi::,Cas3::,SMN::,NB-3::,Fbxl17::,Rad23::,ERK1::,CB1R::,db::,WRNIP1::,TBK1::,αSMA::,Collagen1α2::,mdm10::,mdm12::,HuR::,Hcp1::,ICOS::,cycb1;1::,MAD1::,Hcfc2::,PolD3::,DP1::,A20::,G6PD::,PCNA::,PIPKIγi5::,Ret::,leptin::,Tgfb1::,RAD21::,miR-132::,Cki1::,FRB::,CSF1R::,IFNγ::,Rag1::,CoQ10::,p97::,Clpp
K7CE96	RIPK3
405865	ETHE1
O70200	apg10::,myelin::,Bcl‐XL::,p55::,beclin‐1::,FYCO1::,DHPR::,Beclin1::,mss51::,inlK::,IL‐1β::,endophilin::,α-hemolysin::,Bim::,Tom1::,Epg5::,epg-4::,AGO2::,EEA1::,gigi::,ATF3::,RPS6K1::,titin::,WIPI2b::,Iba1::,dbl‐1::,VAMP2::,CALM::,CRH::,GRI::,STIL::,IBA-1::,Cx3cr1::,PR-SET7::,KSHV‐TK::,KLK3::,Mcm2::,DTS::,cdc44::,URA3::,GC‐G::,Sec24D::,Ki-67::,miR‐371::,GM130::,Cacna2d2::,Krn::,ABCA1::,miR-203::,TLR8::,Iba-1::,NE::,Peli1::,atg11::,γ-H2AX::,C1q::,CD34::,PAI1::,VE-cadherin::,AREG::,IBA1::,PTPRN2::,Ang-2::,F4/80::,CCM1::,sec3::,Morc3::,DCP1a::,ABL1::,Lyzs::,YAP::,OTUB1::,cym1::,VEGF-A::,gTbr2::,LukE::,Prp5::,KLF5::,GSK3β::,FoxM1::,Stat3::,Pou5f1::,Ku70::,MDI::,mdi::,tfam::,caspase 3::,NB-3::,Ptch1::,G45b::,Rab34::,SPOP::,ob::,uPA::,ypt7::,Rab1a::,lro1::,Pax6::,GSK-3β::,cdkb1;2::,CYCB1;1::,SOX9::,vOTU::,miR-34b::,MAPKKK5::,GASZ::,Trpml1::,cortactin::,Shp2::,XIAP::,TGFB1::,miR-132::,p65::,Act::,TAZ::,Gata6::,cdc14
P0A9X9	Cspa
18708	PI3K
3624	INHBA::,Inhba
8432984	p75
856162	p38IP::,Uba52::,Sqa::,atg11::,Atg11::,spns1::,Lpl::,Coq9::,sec12ts::,vps21::,Aβ42::,Kcnq1::,Tgfb1::,CD68::,Ang-2::,CD45::,miR-10b::,ter1::,Nde1::,LUBEL::,PBL27::,MALT1::,IL-2Rα::,Dln1::,HIF1α::,TWIST1::,MCK::,TNF::,Nrg1::,MOG::,LLO::,PS1
P08247	synaptophysin::,SYP::,Synaptophysin
P19437	APG5::,DAPk::,Dcp-1::,spr-4::,CD20::,Stat1::,Chs3::,IGHM::,Tek
853898	Aut2p::,vitamin D receptor::,Dgcr8::,THEMIS::,IL-1β::,Siglec‐5::,sec5::,chm::,Bch2::,BCH2::,miR-21
P46013	pep4::,catD::,TMEM59::,Ki67::,Bak::,Ki-67::,Dusp5::,FXR::,KI67::,Shi::,Snai1::,CUL3::,DTR::,HSP22.0::,Wnt-3a::,Tfam::,munc18-1::,SEPT6::,FUS::,CXCR5::,HAL::,CD41::,HBsAg::,IL-1R1::,Mki67::,STAT2::,SUMM2::,ki67::,AS_67
689560	Ryr2
P33897	Arg514
Q5SF07	Igf2bp2
Q12038	Sec4p
31474	myosin light chain II::,MLC II
837341	At1g08200
97287	PtdIns 3‐kinase::,thymidine kinase::,Jumpy::,hVps34::,sqh::,mmi1::,NPR1::,Beclin‐1::,Hla::,sgk1::,LAMP-1::,epg-7::,λPP::,DICER::,mlh-1::,MIC1::,Fap-1::,Pex14::,Rpl3::,Dcp-1::,ATPsyn-α::,L2A::,SAS-6::,PR-SET7::,Cdt1::,lhy::,ANP::,NY‐ESO‐1::,Sec61α::,Rag2::,Terc::,Rubicon::,SlpA::,Crb::,SKAP55::,NE::,Snc1::,K-Ras::,CCR1::,Braf::,Tex11::,periostin::,VEGF::,NRP1::,Nsmce2::,Siglec‐5::,γ2::,FRB::,PCM1::,gTbr2::,INVS::,Ptch1::,GluA1::,PDE10A::,uPA::,miR-122::,ICOS::,Bcl6::,M3R::,DIS3L2::,CERK1::,igfbp3::,PolD3::,SYCP3::,G6PD::,Gli1::,dmDis3l2::,ATM::,CSF1R::,TUJ1::,CCR2::,ER::,F4/80::,Trp53::,PD-L1
P53762	HIF-1β
394367	notch1a
Q9Y0A1	IRI
24329	GF-AA s
6352	CCL5::,RANTES
Q61501	C/EBPα
105787	CCC1::,TIGAR::,AMPK α 1::,IRGM::,ZIPK::,pka::,Hla::,EPG-7::,epg-8::,CREST::,nos::,Dcp-1::,hgrs‐1::,RCAS1::,AVP::,cdc14::,PCDH7::,Ampkα1::,AMPKα1::,PLK-1::,XBP-1::,Cd36::,ypt1-1::,CHK2::,AMPKa1::,miR-10b::,NLRP3::,Tbr2::,TRPV2::,UQCRC2::,CtBP2::,p150::,miR-122::,Nup170::,YAP::,RAD21::,PS1::,Cdc14
O84944	SSEA
O95169	Vti1b::,gba::,CD14::,EGF::,NDUFB8::,CLU::,caspase‐3::,hrcC
1432	Vps24::,p38IP::,p38α::,FYCO1::,syntaxin 7::,CK2α::,Ret::,invG::,centrin::,SEC13::,IBA-1::,EN::,endosialin::,PR::,BSA::,Snc1::,Tsc22d1::,CUL3::,KLHL3::,LYVE1::,CCM1::,Raf-1::,Stat3::,Imp1::,PD1::,Pou2af1::,ABH1::,Gal4::,miR-10b::,SYCP3::,dmDis3l2::,Gata6::,Apc::,HBEC13
8241211	EFTU
P00519	IL‐1β::,CDC14::,mannosidase II::,Snc1::,ABL1::,VEGF-A::,Nde1::,Aldh1l1::,Nrg1::,EG3
M9PD22	cyt b
110355	RARα::,βH-Spectrin::,GRX2::,GRK2::,MLH1::,TNFα::,pus1::,USP5::,grk2::,Grk2::,YAP
104242	MCH
855949	pep4::,pra1::,APG10::,il10::,p19::,Vps24::,SipB::,Jumpy::,GATE‐16::,Rb::,Map1lc3b::,TAB2::,VPS4::,GEMIN4::,pnp1::,TDP43::,CRH::,CTNS::,GC‐G::,ERCC1::,Phb2::,Sirt3::,Dgcr8::,Pep4::,PEP4::,ypt1-1::,HI0628::,TSC22D1::,LXRα::,MICA::,Siglec‐14::,IBA1::,CSF1R::,ral::,RAB1B::,AMPKa1::,VEGF-A::,Rad50::,NB-3::,Smad2::,MHC::,uPAR::,EGOT::,VPS39::,CD4::,CXCR5::,IFN-β::,CPAP::,FUS::,CYCB1;1::,FRA3B::,YAP::,Chs5::,Shp2::,RARα::,HOIP::,Dsl3p::,Act::,IL-1R1
Q61550	RAD21::,Scc1
22427	WRN
23067	SETD1B
Q8XDJ7	mltE::,MltE
Q8WUP2	mig-2::,MIG-2
549579	RKIP
79829	NAA40
P14250	EG3
20937	Mis6
P0CG47|P0CG48|P62979|P62987	TGN38::,ubiquitin::,Ub::,Ubiquitin::,Vps24::,TLN::,α-amylase::,bec-1::,ATG10::,FYCO1::,HMGB1::,Syntaxin 5::,p130::,PTKB::,sav::,Pla1::,InlK::,M45::,MPPβ::,VDR::,LC3A::,Atg30::,UB::,ATG9L1::,ubiquitinated::,Hace1::,p22::,p22phox::,TCF4::,Atg8p::,snf1::,rhodopsin::,L2A::,ULK1::,Bak::,RBM14::,PI5P4K2A::,noc::,Noc::,Orc2::,FKF1::,Dusp5::,PCDH7::,APC::,MVH::,Rubicon::,NRBF2::,FMR1::,T::,Rl::,caspase::,Snai1::,vps21::,ldh1::,Bnp::,KLHL3::,p48::,gephyrin::,Csf2::,CCM1::,Ksr1::,CD22::,CD4::,RAB1B::,KIF21A::,Ubiquitinated::,HlgB::,HlgC::,Stat3::,Inhibin A::,Yap1::,INVS::,Rab34::,SEPT7::,uPAR::,Rab1a::,dop-1::,NSUN3::,CDKA;1::,CREST::,miR-449a::,bactin::,X-chromosomes::,RBM15::,PIPKIγi5::,atg2::,Scl::,NLRP3::,VGLUT1::,Dsl3p::,miR-132::,Ccr2::,GATA6::,LATS1::,p97
100518544	IFITM3
8349909	2ac
100316388	miR-517a
852724	pex14::,Pex14::,PEX14
P41778	Pbx1::,PBX1::,PBX1A
19819	GIW1::,CD115::,IFN-γ::,RNase H1::,Rnaseh1::,CXCR5::,Sas-6::,G6PD::,TH
3007	H1.3
542720	PR5
4114580	cyt b
177594	unc-24
914061	Hfq
6117	HMGB1::,Eis::,PELP1::,NS3::,Sph1::,CD16::,cay1::,myosin IIA::,p48::,RPA1::,SLFN11::,Munc18-1::,GluA1::,Nde1::,PKCB::,SRP54::,ORP8::,SOD1
O70191	SIGLEC11
O75164	Jmjd2a
76768	ALPI
H2QSZ0	TREM2::,Trem2
Q13077	cIap2
P27105	HPA010961
541123	ARRDC3
64947	MRPS28
P10040	Crb::,crb
Q9Z1Z1	PERK
Q91Y86	JNK::,WAC::,rpn‐2::,RBM14::,WIPI2B::,Pod::,btn2::,p48::,ABL1::,DCC::,GCN2::,VEGF-A::,TrkB::,KV10.1::,MDM2::,α6::,troponin I
90665|6907	DAPK::,4EBP1::,miR-132::,gba::,Rosa26::,spns1::,IL-5::,NFATc2::,Matrin3::,Tfn::,TBL1::,tgl5::,p48::,IgG2a::,Swi6::,Siglec‐7::,T3::,KIF21A::,caspases 3::,gTbr2::,CXCL1::,C3b::,FUS::,Sufu::,EpoR::,ALP::,cortactin::,Miro1
3291	HSD
O76922	70S6K::,Aurora B::,WASH::,SQST‐1::,cca1::,UFD-2::,Snc1::,Aub::,aub::,PLCβ1::,UnaG::,CCM1::,VEGF-A::,PSD95::,doa10::,junD::,CD4::,oskar::,Oskar
P48965	Cdc25A
Q91X05	podocin
675	BRCA2::,U2OS19::,Brca1Δ2
824	calpain 2::,Calpain 2
11221	DUSP10
8098149	myo4
80331	DnaJC5::,CSPα
514005	PPM1D
Q9BZF1	ORP8
P52891	Sec13p
O00267	Ctr2
326205	claspin
Q02346	MyoD
36775	Rho1
I6L9G6	TDP-43::,calreticulin::,WIPI2a::,Yip1A::,AP::,DDX3::,Mac2::,C7::,Stat3::,Tdp-43::,HuR::,PSD95::,RAD21::,IL-4::,IFN-β
1994	bec-1::,IRGM::,NS5A::,miR-16::,ATG16L1::,GlyS::,atg‐7::,PI5P4K2C::,Ccnd1::,prb1::,C7::,YAP::,UnaG::,Mx2::,Stat3::,eIF4A::,munc18-1::,Munc18-1::,AGO1::,Atg19::,ISG15::,HuR::,ERp57::,CD34::,Chs5::,Gr1::,BACE1::,IFN-α::,β6
P32037	GluT
Q8NB12	Myh7b
P42771	P16::,p16::,Cdkn2a::,p16Ink4A
50913	Olig2::,olig2::,OLIG2
77040	p19::,GATE‐16::,DAPk::,OPA1::,Atg16L1::,cathepsin B::,NAF‐1::,DHPR::,Sqh::,yki::,mmi1::,IL-1β::,LC8::,cathepsin D::,Ptch2::,Laminin γ−1::,LC3A::,ATG16L1::,LGG-1::,Atg310::,PERK::,VAMP3::,MSH-6::,Atg16l1::,WIPI2b::,lap::,H-2Db::,ACTH::,GRI::,Smac::,LTβR::,Mcm2::,cca1::,CG9485::,HSF1::,Mfa1::,TAS1a::,Htb1::,Rubicon::,laminin::,Spi::,ALDH1A1::,F4/80::,Smad6::,PRB1::,Aβ42::,MyD88::,Smad2::,CD11b::,YAP::,Myd88::,PLCβ1::,Ly6G::,BMP6::,Mef2A::,ral::,Irf7::,APEX1::,TAZ::,NRAS::,OTUB1::,Akt2::,Prp5::,TPO::,Stat3::,Rad50::,Rnaseh2b::,Uba2::,MCP::,NB-3::,APH-1::,ERK2::,GluA1::,Map1lc3b::,CTGF::,mdm10::,CD28::,Pgc1::,CXCR5::,ABH1::,cdkb1;1::,caspase 3::,bactin::,Multicilin::,NF-YB::,Chs5::,GASZ::,fft2::,Mpc1::,Shp2::,Hmox1::,DAPK1::,HOIP::,ZEB1::,ANG-1::,Mbp::,ADCK3::,Coq9::,Tek::,TAB2::,Clpp::,ER
Q99801	Spdef
P17917	PCNA
O95786	Bruce::,calreticulin::,Dcp-1::,prk4::,CD20::,GPIIb::,Vegfc::,RIG-I::,VEGF-A::,IL-2::,KV10.1::,nkx2.2::,REUL::,Rnf135::,RIG-I CARD
O94494	Mis6
Q6EBV9|Q68FE2	atg9::,Atg9::,ATG9
P17255	A subunit::,A subunits::,I-Sce-I
B7ZV46	hsp70l::,Hsp70l
O15392	PHO8::,hac1::,CD63::,DAPk::,dRagA::,TIGAR::,yki::,Red1::,bi‐1::,FEZ1::,KFERQ::,thiolase::,survivin::,VAMP3::,RINT-1::,scramblase-3::,Beclin-1::,FKBP15::,Dendra-tau::,USP45::,DFCP1::,FimA::,NFATc2::,TAS1c::,Dgcr8::,CDC50A::,LSD1::,dfmr1::,γ-H2AX::,Shi::,ypt1-1::,DEC::,MclA::,Cd11b::,PHD1::,NRP1::,CD31::,GlyR-ß::,SLFN11::,CD22::,KIF21A::,HDAC6::,CD4::,TFE3::,Nppb::,HKII::,STAT2::,MKKK7::,Stat3::,Ubc9::,Fus::,WRNIP1::,Cdk1::,SEPT7::,ter1::,caspase-1::,Snf7::,Gdpd4::,ORP5::,AML1::,PLZF::,EpoR::,caspase‐3::,F4/80::,Hrr25::,CD11b::,Nrg1::,Sororin::,Birc5::,TBK1::,LLO
Q57580	H1.5
57332	RC1-
5861	TRAIL::,Rab1a::,dRagA::,MDN1::,Ripk2::,Ctns::,KSHV‐TK::,Twi1p::,Rpn1::,CD4::,TFG::,PHD1::,UnaG::,fkh::,RAB1A::,CASP1::,DDX6::,IFN-b::,VN::,FBW7α::,RNF168::,S100β::,ATM::,CARD14::,STING::,Pho8::,Sec23::,β5::,IL-10
366126	PU.1
3399452	ParB
P29375	5S-5A
5723650	PRL3
1021	PI3KR1
Q08495	ITPKB
192233	Rnf43
O94842	myl7
Q62386	IL-17A
29253	Maoa
11576	TAB2::,Atg19::,Afp::,miR-210::,TBK1::,AFP
38961	CBL
P32657	CHD1::,Chd1
380447	α-dystroglycan
Q12983	Bnip3::,BNIP3
49260	CK19
15135	Hbb-y
Q9JHS4	Clpx::,CLPX
171497	SGK2
O94826	Tom70::,tom70::,TOM70
18208	NTN1
P60041	somatostatin
4013	VWA5A
P38398	Brca1::,BRCA1
A0A0C5AZY9	FcγR-II
104929752	Myocardin
37235	RPL11
1445	CSK
P22725	Wnt5a
P20070	DIA1::,Dia1
27377	YME1L::,Yme1l::,Yme11
Q6ZWS8	VCP::,SMURF1::,TAB3::,CAMP::,lamin A/C::,VII::,PDI::,ULK::,mgm1::,Aldh5a1::,phm8::,centrin-2::,Zrf1::,CHL1::,SHP1::,Phb2::,Terc::,Rh1::,caspase::,MEK1::,AREG::,CD22::,TRAPPC8::,miR-10b::,ABCB8::,CYM1::,Ucp1::,chm::,ZEB1::,MARK4::,Trove2::,ChAT::,NB-3::,RNAseHI::,SPOP::,CLU::,ter1::,Ape1::,ICOS::,Tbk1::,TIM44::,STIL::,Igfbp1a::,Gpr124::,Chs5::,Gli::,CXCR2::,HOIP::,IL-1β::,Il-6::,Tek::,LLO::,Lgr5::,F4/80
P15313	miR-124
693930	Hba
67956	APG10::,‐H+L::,TLN::,DAPk::,IFN-γ::,UBQLN1::,dRagA::,TIGAR::,TNFα::,BIK::,IRGM::,DIC::,Red1::,pka::,MurRF1::,IE1::,NIPBL::,Hla::,GAL1::,myosin VI::,Tom1::,N-Shh::,Sph1::,atg-3::,CENP‐E::,Ripk2::,SOX2::,miR-212::,MYPT1::,syntaxin 6::,M2AP::,TCF4::,β‐catenin::,Rpl25::,strumpellin::,Dcp-1::,invG::,WIPI2b::,atg19::,daf‐2::,ULK1::,Gzmb::,miR158B::,AGO6::,Rap1::,cay1::,Mgat3::,Aβ::,PR-SET7::,KSHV‐TK::,Dup::,GIW1::,pif4::,DTS::,Dusp5::,PCDH7::,FXR::,Hspb1::,NEDD4L::,Oct4::,Lyz::,Phb2::,AGO4::,LGR5::,Tfn::,Rubicon::,ajuba::,COLVII::,PlGF::,TRA‐1‐81::,PCNA::,HisCl::,Ncoa5::,Nurr1::,Twist1::,vps21::,H19::,Kras::,C7::,p48::,CD31::,Sema3A::,NSMCE2::,VEGF-C::,STARD7::,Bmp6::,MEKK3::,Fkh::,Bid::,Sox17::,PEX::,MDA-5::,TFE3::,RAF1::,Wbp2::,gTbr2::,LukE::,Trpv4::,Prp5::,pus1::,KLF5::,ELF3::,Wnt-3a::,ICAT::,CXCL10::,Ubc9::,C3b::,MCP::,Fus::,NB-3::,vGlut1::,Bcl2::,Munc18-1::,munc18-1::,Slc27a5::,RILP::,GluA1::,α11.2::,CLU::,MT1-MMP::,TGN46::,SmD3::,TBX21::,miR-122::,gp6::,Pou2af1::,Ofd1::,STIL::,lfabp::,SYCP1::,Stag3::,ORP5::,GM130::,Il1b::,AIFM1::,ML1::,PIK3CA::,atg17::,IL-6::,Rad50::,UCP1::,Ly6G::,sTREM2::,LIMT::,IFNα4::,KRT23::,CYLD::,lysozyme::,ACSL3::,BACE1::,YAP::,IL-1R1::,MOG::,CD34::,Gata6::,Fabp1::,CoQ9::,IFN-β::,pep4::,NMHCIIA::,Apc
P11047|P07942|P25391	laminin 111
Q5JS13	RALGPS1::,Ralgps1
P9WG45	H subunit::,subunit H
O15075	DCLK1::,doublecortin
2539045	GATE‐16::,DmATG1::,Bcl‐2::,DAPk::,Jumpy::,TIGAR::,Vti1b::,ZIPK::,ura4::,Aim2::,InlK::,RM45::,Mcip1.4::,KAP::,GSK-3β::,Lon::,spns1::,sma‐3::,lin‐35::,IBA-1::,CD133::,miR‐290::,Asm::,MCOLN1::,TTN::,HI0629::,Npc2::,Pep2::,IAb::,TAZ::,TRAPPC4::,caspase-12::,CD4::,miR-10b::,Stat3::,SDHA::,INVS::,plasmin::,U11::,HuR::,ICOS::,USP19::,ARSA::,E2F4::,Sept2::,fft2::,Fft2::,Shp2::,VGLUT1::,DNAse I::,ANG-2::,Cdc14
171361	eef1a
21838	Thy1
17480	Mpl
7422	Aut7p::,Dcp-1::,atrogin‐1::,VEGF::,HRE::,WRKY29::,GF-AA s::,Trpml1::,TGFβ-1::,Vegfa::,VEGFA::,RVO
2539513	myo2
12895	Cpt-1β::,CPT1b
2540970	Vti1
Q8CB27	YOD1
104849837	Synapsin-1::,synapsin-1
3565555	cogc‐1
P51697	S6R::,26S
Q0P466	trmt12
P37377	α-syn::,IL-18::,α-synuclein::,STAMP2::,Nup49::,Rag1::,FMR1::,PLK-1::,SLFN11::,PAQR3::,CASP1::,KLF5::,Rab34::,FLCN::,sst::,Ngn1::,acid phosphatase::,Ret::,Hrr25::,CD45::,α-Synuclein::,OVA::,synuclein
P16110	SCOC::,Gal3::,galectin3::,Twist1::,Ape1::,Mac2::,Sema3C::,Rnaseh2b::,SIRT5::,IL-6::,TP53::,galectin-3::,TBK1
A0A2N3IC28	N3IC
Q64314	PSA::,CPEB4::,TGF-β1::,CD34::,STARD7::,HlgB::,cycb1;3::,MALT1::,TNF
327665	NDUFB6
Q5IBC5	esp1
2313	Fli1::,fli.1
100009249	Hba
Q8BG71	trmt12
P70181	PIPKIγi5::,PIPKI
102292126	GnRH
11335	HP1y
P27838	eFF2K
6175	P0
P09034	ASS1
528207	FASTKD2
Q9CUU3	SYCP2
Q0VA03	Suz12::,SUZ12
8772	FADD
27000	ZRF1::,Zrf1
110308	cytokeratin 5
Q08959	Pgc1::,PGC1
B3KU38	AnkG
291245	ACTN2
O75475	p75
P28702|P48443|P19793	RXR::,Cpx1::,DNase I::,OTUB1::,Rnaseh2b::,miR-449a::,DAPK1::,IL-4
34716028	est2∆
O60238	npc1::,Nix::,Bnip3l::,bNIP3L::,NIX::,COI12::,Twi1p::,Phb2::,Shi::,NCOA5::,BNIP3L::,pep4::,CNPase::,PGC-1α::,CD34
Q60932	VDAC1
4009	LMX1A::,LMX1a
Q9UW14	RIM
P04843	Rpn1
117548	KIF1B
P18195	IB4
P06876	cmyb1
P32569	Med17
281572	Vegfa::,VEGFA
9377	Cox5a
936388	med15Δ
1080	TLR 7
P41956	cyt b
300674	ARCN1
854096	Arg1
H2QHH9	Gdf7
23607	CD2AP
Q80TD3	Fnip1
Q9UBV7	Beta
Q61221|Q61221	ft::,p48::,TGF-α::,HIF-1::,ICAT::,ABH1::,F9::,Sept7::,LLO::,GATA4
P30656	β5::,yβ5
